lncRNA,score
CTD-2002H8.2,0.4358127
RP11-421F16.3,0.43580959
CTD-2525I3.6,0.435803369
OGFR-AS1,0.435800259
CTD-2031P19.5,0.435800259
AC034220.3,0.435766049
RP11-18I14.10,0.43575672
RP11-1113L8.1,0.4357505
NUCB1-AS1,0.435744281
RP11-178L8.9,0.435728735
RP3-400N23.6,0.435719407
RP11-392O1.4,0.435716298
SLC2A1-AS1,0.435716298
AC091133.1,0.43571008
RP11-696N14.1,0.435703862
ST7-AS2,0.435700753
CTB-179K24.4,0.435697645
AC004041.2,0.435691427
SUZ12P,0.435688318
SRP14-AS1,0.435675884
CTD-2034I21.1,0.435657234
RP11-477D19.2,0.435607508
RP11-410N8.3,0.435607508
RP11-57H12.3,0.435604401
TSIX,0.435601293
RP1-292B18.4,0.435598186
RP11-329J18.2,0.435588864
RP11-894P9.1,0.435588864
RP11-152P17.2,0.435582649
RP11-473O4.5,0.435532941
AC022816.2,0.435523622
RGS5,0.435511197
RP11-118B18.1,0.435495666
AC006262.5,0.435492561
TMLHE-AS1,0.435489455
RP11-32B11.2,0.435489455
RP11-304M2.3,0.435480137
AP006216.12,0.435473926
RP11-122G18.5,0.435467715
RP11-166D19.1,0.435461504
AC007773.2,0.435458399
AC004381.7,0.435455293
RP11-65J21.3,0.435452188
LINC00910,0.435445978
DICER1-AS1,0.435445978
RP11-187O7.3,0.435442872
AC083949.1,0.435442872
AC092839.3,0.435439767
RP11-108L7.4,0.435433557
CTD-2620I22.1,0.435430452
CTD-2521M24.9,0.435427347
LINC00689,0.435424242
LINC00240,0.435421137
PBX2,0.435418032
RP11-46A10.4,0.435414928
RP3-348I23.2,0.435411823
LINC00852,0.435408718
AC000120.7,0.435405614
RP11-506M12.1,0.435383882
ATP6V0E2-AS1,0.435383882
THRB-AS1,0.435383882
DLGAP1-AS2,0.435380778
AC092620.2,0.435377674
RP11-252A24.7,0.43537457
RP11-351M8.2,0.435362153
RP1-179N16.6,0.435362153
RP11-297K8.2,0.435359049
CTD-2527I21.14,0.435346634
RP11-94P11.4,0.43534353
CTD-2248H3.1,0.435340426
RP11-214O1.2,0.435331115
RP11-124N3.3,0.435328012
FOXP1-IT1,0.435324908
AC109828.1,0.435318701
RP13-1032I1.7,0.435312495
NONHSAG035211,0.435309391
RP11-798K3.2,0.435306288
RP11-546B15.1,0.435303185
RP11-16P20.3,0.435303185
BHLHE40-AS1,0.435269053
RBM26-AS1,0.43526595
SNORD3C,0.43526595
ENTPD3-AS1,0.435262848
RP11-527F13.1,0.435250437
LINC00909,0.435250437
RP11-677I18.3,0.435247335
ZNF674-AS1,0.435238028
SNAP25-AS1,0.435231824
RP11-584P21.2,0.43522562
CTC-429P9.1,0.43521011
LOC100506710,0.43521011
CTB-35F21.1,0.435203906
7SK,0.435200804
GK-AS1,0.435188398
RP1-90J20.8,0.435182195
RP11-57H12.5,0.435172891
RP11-410D17.2,0.435157385
RP11-242C19.2,0.435132578
RP11-10K16.1,0.435129477
RP11-300J18.3,0.435126376
KB-1460A1.5,0.435123276
AC005062.2,0.435123276
MIR4519,0.435107773
AC092295.7,0.435098472
PRRT3-AS1,0.435095372
GNG12-AS1,0.435092272
PAXBP1-AS1,0.435089172
CTA-256D12.11,0.435086072
RP11-334E6.3,0.435082971
RP5-1021I20.5,0.435076771
RPI002_007291,0.435070572
RP11-3L8.3,0.435070572
AC005740.5,0.435055073
LINC00393,0.435051973
RP11-159H22.2,0.435051973
SMC5-AS1,0.435048874
RP4-669H2.1,0.435048874
RP11-144G7.2,0.435048874
RP11-80G7.1,0.435042675
RP11-525K10.3,0.435039575
RP11-403H13.1,0.435027178
RP11-342M1.4,0.43502098
RP11-11N9.4,0.43502098
RP11-259K5.2,0.435002386
RP11-513O17.2,0.434999287
RP11-697H9.2,0.434996188
CTC-301O7.4,0.434986892
AC007679.3,0.434971399
Z83844.1,0.434971399
PSMD6-AS2,0.434968301
RP4-665N4.8,0.434965202
ERVK13-1,0.434962104
RP11-387D10.2,0.434946613
ZNF833P,0.434946613
AL139819.1,0.434943515
RP11-783K16.14,0.434934221
RP11-75C10.9,0.434924927
NONHSAG044533,0.43492183
RP5-1125A11.1,0.43492183
RP11-155G15.2,0.434909439
DLX6-AS1,0.434909439
AC004840.9,0.434897049
RP11-4O1.2,0.434897049
RP11-480A16.1,0.434890854
RP11-473I1.5,0.434887757
CTD-2196E14.4,0.43488466
RP11-303E16.8,0.434866078
NONHSAG044439,0.434862981
RAD51-AS1,0.434862981
ZNRF3-IT1,0.434847497
RP11-553L6.5,0.434847497
SYNE4,0.434841303
CTD-2619J13.8,0.434838207
GLYCTK-AS1,0.434832014
RP11-936I5.1,0.43481034
AC007193.6,0.434804148
UBXN8,0.434779381
RP11-284F21.7,0.434773189
RP11-1006G14.4,0.434763903
RP11-804A23.4,0.434757712
