lncRNA,score
STXBP5-AS1,1.41E-05
CECR7,1.41E-05
AC058791.1,1.40E-05
RP11-530C5.1,1.40E-05
RP11-311C24.1,1.40E-05
RP11-203B9.4,1.39E-05
RP5-886K2.3,1.39E-05
RP11-63M22.2,1.39E-05
MIR1539,1.38E-05
RP11-465N4.4,1.38E-05
RP11-307P5.1,1.38E-05
AC084082.3,1.37E-05
RP11-521B24.5,1.37E-05
AP006621.8,1.37E-05
CTD-3035D6.2,1.37E-05
TBC1D14,1.36E-05
CTB-171A8.1,1.36E-05
PCGEM1,1.36E-05
AC018737.1,1.35E-05
AC005616.1,1.35E-05
AL589743.1,1.35E-05
PSMD5-AS1,1.35E-05
RP11-66N24.4,1.34E-05
AC073343.13,1.34E-05
IDI2-AS1,1.34E-05
RP5-842K24.2,1.34E-05
RP11-296K13.4,1.33E-05
CTD-2651B20.7,1.33E-05
RP11-156P1.3,1.33E-05
RP11-124N14.3,1.33E-05
RP1-168P16.2,1.33E-05
RP4-714D9.2,1.32E-05
LINC00958,1.32E-05
AC010761.8,1.32E-05
LIPE-AS1,1.32E-05
NR2F1-AS1,1.32E-05
RP11-336A10.2,1.31E-05
CTD-2013N24.2,1.31E-05
CPS1-IT1,1.31E-05
RP11-382A20.4,1.31E-05
RP1-76B20.11,1.31E-05
RP11-159D12.2,1.31E-05
RP11-513I15.6,1.31E-05
RAB30-AS1,1.31E-05
RP11-727A23.5,1.31E-05
NOP14-AS1,1.31E-05
RP11-473M20.7,1.31E-05
AC026202.3,1.31E-05
RP4-584D14.5,1.31E-05
AP000487.6,1.30E-05
AC016723.4,1.30E-05
RP11-475N22.4,1.30E-05
PTCHD3P1,1.30E-05
LA16c-358B7.3,1.30E-05
RP5-977B1.7,1.30E-05
MAGI1,1.29E-05
AC005944.2,1.29E-05
RP5-1057J7.6,1.29E-05
RP11-69E11.8,1.29E-05
USP3-AS1,1.29E-05
RP11-707P17.1,1.28E-05
RP5-1085F17.4,1.28E-05
SNORA40,1.28E-05
RP11-654A16.3,1.28E-05
RP11-15B17.1,1.28E-05
CTD-2007H13.3,1.28E-05
RP5-821D11.7,1.27E-05
RP11-1035H13.2,1.27E-05
AC005037.3,1.27E-05
RP11-106M3.3,1.27E-05
RP11-977G19.11,1.27E-05
AC005042.4,1.27E-05
RP5-1027O11.1,1.27E-05
hsa-mir-6080,1.27E-05
HCP5,1.26E-05
CTD-2314B22.2,1.26E-05
AC083884.8,1.26E-05
NUTM2A-AS1,1.26E-05
RP11-110I1.6,1.26E-05
AC005104.3,1.26E-05
C22orf43,1.26E-05
RP4-694B14.5,1.26E-05
RP11-474P2.2,1.25E-05
RP11-138I1.4,1.25E-05
ZRANB2-AS1,1.25E-05
NONHSAG031079,1.25E-05
RP11-529K1.4,1.25E-05
CTC-550B14.7,1.25E-05
AC073130.3,1.25E-05
RP11-442H21.2,1.24E-05
CTD-2647L4.4,1.24E-05
RP11-143J12.2,1.24E-05
RP4-816N1.6,1.24E-05
RP11-120M18.2,1.24E-05
LINC00941,1.24E-05
RP11-498C9.3,1.24E-05
LINC00669,1.24E-05
RP11-316M1.12,1.24E-05
ANKRD10-IT1,1.23E-05
COX10-AS1,1.23E-05
RP11-282O18.3,1.23E-05
RP11-173P15.3,1.22E-05
AC073871.2,1.22E-05
AC007566.10,1.22E-05
AC017101.10,1.22E-05
LINC00470,1.22E-05
RP11-611L7.1,1.22E-05
RP11-867G23.3,1.22E-05
CTD-2651B20.6,1.21E-05
RP1-1J6.2,1.21E-05
NONHSAG020671,1.21E-05
RP11-452H21.1,1.21E-05
CTC-524C5.2,1.21E-05
LINC00094,1.21E-05
NPSR1-AS1,1.21E-05
RP11-770J1.3,1.20E-05
C1orf186,1.20E-05
RP11-392P7.6,1.20E-05
RP11-537H15.3,1.20E-05
AC003665.1,1.20E-05
H1FX-AS1,1.20E-05
IPO9-AS1,1.20E-05
AC131097.3,1.20E-05
RP11-298J20.4,1.20E-05
SH3BP5-AS1,1.19E-05
RP11-1094M14.11,1.19E-05
RP11-434I12.2,1.19E-05
NONHSAG039865,1.19E-05
RP4-665J23.1,1.19E-05
CTB-55O6.12,1.19E-05
RP11-248G5.8,1.19E-05
MMP24-AS1,1.19E-05
RP11-152P17.2,1.19E-05
GS1-421I3.4,1.18E-05
RP11-712B9.2,1.18E-05
AC068718.1,1.18E-05
SLC7A11-AS1,1.18E-05
RP11-473I1.5,1.18E-05
mycnos,1.18E-05
AP001347.6,1.18E-05
