Official Symbol Interactor A,Official Symbol Interactor B
Nfkb1,Hdac6
Nfkb1,Nfkbia
Nfkb1,Map3k8
Nfkb1,Fem1a
Nfkb1,Rela
Jun,Smarca2
Jun,Smarcb1
Jun,Hhex
Jun,Hoxc8
Jun,Hoxa9
Jun,En1
Jun,Itch
Jun,Esr1
Jun,Mafb
Jun,Stat3
Jun,Tcf4
Jun,Ctnnb1
Jun,Rela
Jun,Sp1
Jun,Creb1
Jun,Fos
Jun,Cyld
Jun,Smad3
Jun,Snapc5
Jun,Sirt1
Jun,Bag1
Fos,Smarca2
Fos,Smarcb1
Fos,Jun
Fos,Cyld
Fos,Yy1
Fos,Pik3r1
Fos,Tro
Fos,Rit2
Fos,Atf7
Fos,Snapc5
Fos,Psmc5
Fos,Jund
Fos,Optn
Fos,Schip1
Fos,Eef1d
Fos,Sirt1
Fos,Arnt
Fos,Crebbp
Fos,Deaf1
Fos,Epas1
Fos,Ncor1
Fos,Nr4a3
Fos,Nr6a1
Fos,Rb1
Fos,Rbl1
Fos,Rbl2
Fos,Sin3a
Fos,Tcf12
Fos,Tcf7l2
Fos,Tead1
Fos,Tfdp1
Fos,Zeb1
Smarcd1,Smarca2
Smarcd1,Tbx1
Smarcd1,Trp53
Smarcd1,Cers2
Smarcd1,Cnga3
Smarcd1,Cyp2c54
Smarcd1,Slc7a5
Tle1,Foxg1
Tle1,Hes6
Tle1,Atf2
Tle1,Ss18
Tle1,Hdac1
Tle1,Ezh2
Tle1,Pus1
Smarce1,Esr1
Smarce1,Smarca4
Smarce1,Nrg1
Smarce1,Brm1
Smarca4,Arid1b
Smarca4,Nr1h4
Smarca4,Prmt5
Smarca4,Ss18l1
Smarca4,Sfpq
Smarca4,Numa1
Smarca4,Nono
Smarca4,Mybbp1a
Smarca4,Srrm2
Smarca4,Brd9
Smarca4,Brd7
Smarca4,Bcl7a
Smarca4,Gltscr1
Smarca4,Actg1
Smarca4,Dpf2
Smarca4,Phf10
Smarca4,Actl6a
Smarca4,Smarcb1
Smarca4,Smarce1
Smarca4,Smarcd3
Smarca4,Smarcd1
Smarca4,Smarcc1
Smarca4,Smarcc2
Smarca4,Pbrm1
Smarca4,Arid2
Smarca4,Arid1a
Smarca4,Smarca2
Smarca4,Ets2
Smarca4,Actl6b
Smarca4,Smarcd2
Smarca4,Polr2a
Smarca4,Nf1
Smarca4,Cdx2
Smarca4,Stat6
Smarca4,Kdm6b
Smarca4,Kdm6a
Smarca4,Adnp
Smarca4,Angptl4
Smarca4,Atf3
Smarca4,Myef2
Smarca4,Ube2o
Arid1b,Smarcd1
Arid1b,Smarca4
Arid1b,E2f4
Arid1b,E2f5
Arid1b,Smarcc1
Arid1b,Smarca2
Arid1b,E2f1
Arid1b,Hdac3
Arid1b,Kat5
Arid1b,Stat3
Smarca5,Baz1b
Smarca5,Baz1a
Smarca5,Cenpk
Baz1b,Smarca5
Baz1b,Actl6a
Baz1a,Smarca5
Baz1a,Smarca1
Ikzf3,Chd3
Ikzf3,Gzf1
Ikzf3,Prdm4
Ikzf3,Sall4
Ikzf3,Stk26
Ikzf3,Tstd2
Ikzf3,Zfp28
Ikzf3,Zfp3
Ikzf3,Zfp37
Ikzf3,Zfp58
Ikzf3,Zfp191
Ikzf3,Zfp287
Ikzf3,Zfp423
Ikzf3,Zfp473
Ikzf3,Zfp513
Ikzf3,Zfp652
Ikzf3,Zfp787
Ikzf3,Zscan10
Ikzf3,Zscan21
Ikzf1,Chd3
Ikzf1,Smarca4
Ikzf1,Smarca2
Ikzf1,Ikzf3
Ikzf1,Hdac2
Ikzf1,Smarcc1
Ikzf1,Hdac1
Ikzf1,Ctbp2
Ikzf1,Ctbp1
Ikzf1,Smarcd3
Ikzf1,Foxp1
Myod1,Kat2b
Myod1,Hdac1
Myod1,Nupr1
Myod1,Prmt5
Myod1,Tcf3
Myod1,Ep300
Myod1,Ncoa2
Myod1,Ncoa1
Myod1,Ncoa3
Myod1,Bhlhe41
Myod1,Mybbp1a
Myod1,Ascl3
Myod1,Map2k1
Myod1,Fbxo32
Rxra,Nsd1
Rxra,Nr1h3
Rxra,Nr1h4
Rxra,Tgif1
Rxra,Trim24
Rxra,Sqstm1
Rxra,Sirt1
Rxra,Traf6
Rxra,Chd9
Rxra,Dnttip2
Rxra,Nrip1
Rxra,Taf1b
Nsd1,Rxra
Nsd1,Ik
Kat2b,Notch1
Kat2b,Ep300
Kat2b,Smad1
Kat2b,Myod1
Kat2b,Hnf1b
Kat2b,Ercc6
Kat2b,Polr1a
Kat2a,Notch1
Kat2a,Csrp2bp
Kat2a,Mbip
Kat2a,Wdr5
Cbx5,Lbr
Cbx5,H3f3a
Cbx5,Hist4h4
Cbx5,Trim66
Cbx5,Chaf1a
Cbx5,Chaf1b
Cbx5,Trim28
Cbx5,Hist3
Cbx5,Hist1h1e
Cbx5,Adnp
Cbx5,Trim24
Cbx5,Hdac9
Cbx5,Suv39h1
Cbx5,Zbtb7b
Cbx5,Hdlbp
Cbx5,Sox2
Bloc1s4,Bloc1s6
Bloc1s4,Bloc1s5
